Machine,Part Number,Loading Start,Processing Start,End Time,Processing Time
Bay3_Machine_1,03 06 100 070 06 21 12_Batch_1,1595.0,1605.0,1696.6666666666667,91.66666666666667
Bay3_Machine_2,03 06 100 070 06 21 12_Batch_2,1605.0,1615.0,1706.6666666666667,91.66666666666667
Bay3_Machine_3,03 06 100 070 06 21 12_Batch_3,1615.0,1625.0,1716.6666666666667,91.66666666666667
Bay3_Machine_1,03 06 100 070 06 21 12_Batch_4,1696.6666666666667,1706.6666666666667,1798.3333333333333,91.66666666666667
Bay3_Machine_2,03 06 100 070 06 21 12_Batch_5,1706.6666666666667,1716.6666666666667,1808.3333333333333,91.66666666666667
Bay3_Machine_3,03 08 125 085 06 21 12_Batch_1,1716.6666666666667,1726.6666666666667,1818.3333333333333,91.66666666666667
Bay2_Machine_1,MB8240-7300-FIN_Batch_4,1730.0,1740.0,1910.0,170.0
Bay2_Machine_2,MB8240-7300-FIN_Batch_5,1740.0,1750.0,1920.0,170.0
Bay2_Machine_3,MB8240-7300-FIN_Batch_6,1750.0,1760.0,1930.0,170.0
Bay2_Machine_4,MB8240-7300-FIN_Batch_7,1775.0,1785.0,1955.0,170.0
Bay2_Machine_5,MB8240-7300-FIN_Batch_8,1785.0,1795.0,1965.0,170.0
Bay3_Machine_1,03 08 125 085 06 21 12_Batch_2,1798.3333333333333,1808.3333333333333,1900.0,91.66666666666667
Bay3_Machine_2,03 08 125 085 06 21 12_Batch_3,1808.3333333333333,1818.3333333333333,1910.0,91.66666666666667
Bay3_Machine_3,03 08 125 085 06 21 12_Batch_4,1818.3333333333333,1828.3333333333333,1920.0,91.66666666666667
Bay3_Machine_1,03 08 125 085 06 21 12_Batch_5,1900.0,1910.0,2001.6666666666667,91.66666666666667
Bay2_Machine_1,MB8240-7300-FIN_Batch_9,1910.0,1920.0,2090.0,170.0
Bay3_Machine_2,03 08 125 085 06 21 12_Batch_6,1920.0,1930.0,2021.6666666666667,91.66666666666667
Bay2_Machine_2,MB8240-7300-FIN_Batch_10,1930.0,1940.0,2110.0,170.0
Bay3_Machine_3,03 08 125 085 06 21 12_Batch_7,1940.0,1950.0,2041.6666666666667,91.66666666666667
Bay2_Machine_3,MB8240-7300-FIN_Batch_11,1950.0,1960.0,2130.0,170.0
Bay2_Machine_4,MB8240-7300-FIN_Batch_12,1960.0,1970.0,2140.0,170.0
Bay2_Machine_5,MB8240-7300-FIN_Batch_13,1970.0,1980.0,2150.0,170.0
Bay3_Machine_1,03 08 125 085 06 21 12_Batch_8,2001.6666666666667,2011.6666666666667,2103.3333333333335,91.66666666666667
Bay3_Machine_2,03 08 125 085 06 21 12_Batch_9,2021.6666666666667,2031.6666666666667,2123.3333333333335,91.66666666666667
Bay3_Machine_3,03 08 125 085 06 21 12_Batch_10,2041.6666666666667,2051.6666666666665,2143.3333333333335,91.66666666666667
Bay2_Machine_1,MB8240-7300-FIN_Batch_14,2090.0,2100.0,2270.0,170.0
Bay3_Machine_1,03 08 125 085 06 21 12_Batch_11,2103.3333333333335,2113.3333333333335,2205.0,91.66666666666667
Bay2_Machine_2,MB8240-7300-FIN_Batch_15,2113.3333333333335,2123.3333333333335,2293.3333333333335,170.0
Bay3_Machine_2,03 08 125 085 06 21 12_Batch_12,2123.3333333333335,2133.3333333333335,2225.0,91.66666666666667
Bay2_Machine_3,MB8240-7300-FIN_Batch_16,2133.3333333333335,2143.3333333333335,2313.3333333333335,170.0
Bay2_Machine_4,MB8240-7300-FIN_Batch_17,2143.3333333333335,2153.3333333333335,2323.3333333333335,170.0
Bay3_Machine_3,03 08 125 085 06 21 12_Batch_13,2153.3333333333335,2163.3333333333335,2255.0,91.66666666666667
Bay2_Machine_5,MB8240-7300-FIN_Batch_18,2163.3333333333335,2173.3333333333335,2343.3333333333335,170.0
Bay3_Machine_1,03 08 125 085 06 21 12_Batch_14,2205.0,2215.0,2306.6666666666665,91.66666666666667
Bay3_Machine_2,90 06 100 155 06 90 12_Batch_1,2225.0,2235.0,2326.6666666666665,91.66666666666667
Bay3_Machine_3,90 06 100 155 06 90 12_Batch_2,2255.0,2265.0,2356.6666666666665,91.66666666666667
Bay2_Machine_1,MB8240-7300-FIN_Batch_19,2270.0,2280.0,2450.0,170.0
Bay2_Machine_2,MB8240-7300-FIN_Batch_20,2293.3333333333335,2303.3333333333335,2473.3333333333335,170.0
Bay3_Machine_1,90 06 100 155 06 90 12_Batch_3,2306.6666666666665,2316.6666666666665,2408.3333333333335,91.66666666666667
Bay2_Machine_3,MB8240-7300-FIN_Batch_21,2316.6666666666665,2326.6666666666665,2496.6666666666665,170.0
Bay2_Machine_4,MB8240-7300-FIN_Batch_22,2326.6666666666665,2336.6666666666665,2506.6666666666665,170.0
Bay3_Machine_2,90 06 100 155 06 90 12_Batch_4,2336.6666666666665,2346.6666666666665,2438.3333333333335,91.66666666666667
Bay2_Machine_5,MB8240-7300-FIN_Batch_23,2346.6666666666665,2356.6666666666665,2526.6666666666665,170.0
Bay3_Machine_3,90 06 100 155 06 90 12_Batch_5,2356.6666666666665,2366.6666666666665,2458.3333333333335,91.66666666666667
Bay3_Machine_1,90 06 100 155 06 90 12_Batch_6,2408.3333333333335,2418.3333333333335,2510.0,91.66666666666667
Bay3_Machine_2,90 06 100 155 06 90 12_Batch_7,2438.3333333333335,2448.3333333333335,2540.0,91.66666666666667
Bay2_Machine_1,MB8240-7300-FIN_Batch_24,2450.0,2460.0,2630.0,170.0
Bay3_Machine_3,90 06 100 155 06 90 12_Batch_8,2460.0,2470.0,2561.6666666666665,91.66666666666667
Bay2_Machine_2,MB8240-7300-FIN_Batch_25,2473.3333333333335,2483.3333333333335,2653.3333333333335,170.0
Bay2_Machine_3,MB8240-7300-FIN_Batch_26,2496.6666666666665,2506.6666666666665,2676.6666666666665,170.0
Bay2_Machine_4,MB8240-7300-FIN_Batch_27,2506.6666666666665,2516.6666666666665,2686.6666666666665,170.0
Bay3_Machine_1,90 06 100 155 06 90 12_Batch_9,2516.6666666666665,2526.6666666666665,2618.3333333333335,91.66666666666667
Bay2_Machine_5,MB8240-7300-FIN_Batch_28,2526.6666666666665,2536.6666666666665,2706.6666666666665,170.0
Bay3_Machine_2,90 06 100 155 06 90 12_Batch_10,2540.0,2550.0,2641.6666666666665,91.66666666666667
Bay3_Machine_3,90 06 100 155 06 90 12_Batch_11,2561.6666666666665,2571.6666666666665,2663.3333333333335,91.66666666666667
Bay3_Machine_1,90 06 100 155 06 90 12_Batch_12,2618.3333333333335,2628.3333333333335,2720.0,91.66666666666667
Bay2_Machine_1,MB8240-7300-FIN_Batch_29,2630.0,2640.0,2810.0,170.0
Bay3_Machine_2,02 08 125 075 08 21 12_Batch_1,2641.6666666666665,2651.6666666666665,2743.3333333333335,91.66666666666667
Bay2_Machine_2,MB8240-7300-FIN_Batch_30,2653.3333333333335,2663.3333333333335,2833.3333333333335,170.0
Bay3_Machine_3,02 08 125 075 08 21 12_Batch_2,2663.3333333333335,2673.3333333333335,2765.0,91.66666666666667
Bay2_Machine_3,MB8240-7300-FIN_Batch_31,2676.6666666666665,2686.6666666666665,2856.6666666666665,170.0
Bay2_Machine_4,MB8240-7300-FIN_Batch_32,2686.6666666666665,2696.6666666666665,2866.6666666666665,170.0
Bay2_Machine_5,MB8240-7300-FIN_Batch_33,2706.6666666666665,2716.6666666666665,2886.6666666666665,170.0
Bay3_Machine_1,02 08 125 075 08 21 12_Batch_3,2720.0,2730.0,2821.6666666666665,91.66666666666667
Bay3_Machine_2,02 08 125 075 08 21 12_Batch_4,2743.3333333333335,2753.3333333333335,2845.0,91.66666666666667
Bay3_Machine_3,01 10 125 110 08 90 12_Batch_1,2765.0,2775.0,2866.6666666666665,91.66666666666667
Bay2_Machine_1,MB8240-7300-FIN_Batch_34,2810.0,2820.0,2990.0,170.0
Bay3_Machine_1,01 10 125 110 08 90 12_Batch_2,2821.6666666666665,2831.6666666666665,2923.3333333333335,91.66666666666667
Bay2_Machine_2,MB8240-7300-FIN_Batch_35,2833.3333333333335,2843.3333333333335,3013.3333333333335,170.0
Bay3_Machine_2,03 10 125 100 06 21 12_Batch_1,2845.0,2855.0,2946.6666666666665,91.66666666666667
Bay2_Machine_3,MB8240-7300-FIN_Batch_36,2856.6666666666665,2866.6666666666665,3036.6666666666665,170.0
Bay2_Machine_4,MB8240-7300-FIN_Batch_37,2866.6666666666665,2876.6666666666665,3046.6666666666665,170.0
Bay3_Machine_3,03 10 125 100 06 21 12_Batch_2,2876.6666666666665,2886.6666666666665,2978.3333333333335,91.66666666666667
Bay2_Machine_5,MB8240-7300-FIN_Batch_38,2886.6666666666665,2896.6666666666665,3066.6666666666665,170.0
Bay3_Machine_1,03 10 125 100 06 21 12_Batch_3,2923.3333333333335,2933.3333333333335,3025.0,91.66666666666667
Bay3_Machine_2,03 10 125 100 06 21 12_Batch_4,2946.6666666666665,2956.6666666666665,3048.3333333333335,91.66666666666667
